source,target,km,days,expense,type,BREED
50001,50056,54.539,1.818,1.909,road,routes
50001,50100,50.135,1.671,1.755,road,routes
50001,50293,65.681,2.189,2.299,road,routes
50001,50473,225.368,7.512,7.888,road,routes
50002,50275,92.174,3.072,3.226,road,routes
50003,50052,109.155,3.639,3.82,road,routes
50003,50182,81.192,2.706,2.842,road,routes
50004,50034,45.801,1.527,1.603,road,routes
50004,50747,26.316,0.877,0.921,road,routes
50005,50108,143.569,4.786,5.025,road,routes
50005,50248,196.645,6.555,6.883,road,routes
50005,50332,128.115,4.271,4.484,road,routes
50006,50019,119.257,0.739,0.074,coastal,routes
50006,50300,49.855,1.662,1.745,road,routes
50006,50363,165.125,0.784,0.078,coastal,routes
50007,50069,23.523,0.784,0.823,road,routes
50007,50410,76.002,2.533,2.66,road,routes
50008,50302,118.707,3.957,4.155,road,routes
50009,50069,30.114,1.004,1.054,road,routes
50009,50081,62.476,2.083,2.187,road,routes
50009,50193,50.442,1.681,1.765,road,routes
50010,50081,24.658,0.822,0.863,road,routes
50010,50132,70.188,2.34,2.457,road,routes
50011,50179,142.193,0.906,0.091,coastal,routes
50011,50199,188.005,0.888,0.089,coastal,routes
50011,50283,404.857,3.363,0.336,coastal,routes
50011,50745,98.403,1.968,0.669,fastup,routes
50012,50063,237.332,7.911,8.307,road,routes
50012,50077,31.657,2.11,0.215,upstream,routes
50012,50125,130.962,1.091,0.445,fastdown,routes
50013,50211,54.26,1.809,1.899,road,routes
50013,50763,96.957,3.232,3.393,road,routes
50014,50094,65.013,0.445,0.045,coastal,routes
50014,50405,55.441,0.445,0.044,coastal,routes
50015,50132,38.851,1.295,1.36,road,routes
50015,50393,63.804,2.127,2.233,road,routes
50016,50354,28.995,0.967,1.015,road,routes
50016,50368,371.982,12.399,13.019,road,routes
50017,50196,62.009,1.24,0.422,fastup,routes
50017,50291,279.307,2.565,0.256,coastal,routes
50017,50297,322.113,1.654,0.165,coastal,routes
50017,50440,637.908,4.617,0.462,overseas,routes
50017,50452,494.132,2.903,0.29,overseas,routes
50017,50516,1957.358,15.293,1.529,overseas,routes
50017,50613,733.082,5.376,0.538,overseas,routes
50019,50006,124.925,0.921,0.092,coastal,routes
50019,50204,23.158,0.772,0.811,road,routes
50019,50569,110.177,0.742,0.074,slowcoast,routes
50019,50586,32.828,0.235,0.024,coastal,routes
50019,50590,67.904,0.526,0.053,coastal,routes
50020,50209,42.806,1.427,1.498,road,routes
50020,50504,44.195,0.347,0.035,coastal,routes
50020,50509,84.808,0.577,0.058,coastal,routes
50020,50746,23.899,0.797,0.836,road,routes
50021,50260,108.38,3.613,3.793,road,routes
50021,50390,35.784,1.193,1.252,road,routes
50022,50066,422.716,2.69,0.269,coastal,routes
50022,50110,97.756,0.698,0.07,coastal,routes
50022,50171,68.254,0.599,0.06,coastal,routes
50022,50201,173.42,1.149,0.115,coastal,routes
50022,50311,160.575,1.179,0.118,coastal,routes
50022,50323,158.667,1.298,0.13,coastal,routes
50023,50039,219.922,7.331,7.697,road,routes
50023,50184,121.273,4.042,4.245,road,routes
50023,50219,134.608,4.487,4.711,road,routes
50023,50271,300.094,10.003,10.503,road,routes
50023,50376,160.153,5.338,5.605,road,routes
50024,50026,158.608,10.574,1.079,upstream,routes
50024,50225,86.245,2.875,3.019,road,routes
50024,50454,48.202,0.402,0.164,fastdown,routes
50024,50644,46.718,1.557,1.635,road,routes
50024,50767,17.82,0.594,0.624,road,routes
50025,50202,144.103,4.803,5.044,road,routes
50025,50437,248.59,8.286,8.701,road,routes
50025,50739,75.543,2.518,2.644,road,routes
50026,50024,158.608,2.44,0.539,downstream,routes
50026,50170,80.267,1.605,0.546,fastup,routes
50026,50766,48.921,1.631,1.712,road,routes
50026,50771,36.41,1.214,1.274,road,routes
50027,50431,104.809,3.494,3.668,road,routes
50027,50739,49.865,1.662,1.745,road,routes
50028,50192,47.703,0.734,0.324,upstream,routes
50028,50254,75.948,0.759,0.258,downstream,routes
50029,50214,78.763,2.625,2.757,road,routes
50029,50301,79.463,2.649,2.781,road,routes
50029,50725,252.022,8.401,8.821,road,routes
50030,50318,79.321,2.644,2.776,road,routes
50030,50757,9.332,0.311,0.327,road,routes
50031,50040,69.869,2.329,2.445,road,routes
50031,50176,110.835,3.695,3.879,road,routes
50031,50250,27.356,0.912,0.957,road,routes
50032,50156,87.684,2.923,3.069,road,routes
50032,50186,59.047,1.968,2.067,road,routes
50032,50365,82.115,2.737,2.874,road,routes
50033,50068,68.37,2.279,2.393,road,routes
50033,50088,131.954,4.398,4.618,road,routes
50033,50371,88.828,2.961,3.109,road,routes
50034,50004,45.801,1.527,1.603,road,routes
50034,50166,105.86,3.529,3.705,road,routes
50034,50209,42.968,1.432,1.504,road,routes
50034,50336,432.042,2.757,0.276,coastal,routes
50034,50383,41.471,0.268,0.027,coastal,routes
50034,50509,43.806,0.352,0.035,coastal,routes
50034,50533,818.561,5.173,0.517,overseas,routes
50035,50085,111.903,2.238,0.761,fastup,routes
50035,50259,296.583,2.472,1.008,fastdown,routes
50035,50748,15.258,0.509,0.534,road,routes
50036,50319,323.354,2.727,0.273,coastal,routes
50036,50531,60.154,0.341,0.034,coastal,routes
50037,50040,75.393,1.16,0.256,downstream,routes
50037,50406,106.379,2.128,0.723,fastup,routes
50038,50225,123.216,4.107,4.313,road,routes
50038,50719,23.756,0.792,0.831,road,routes
50039,50023,219.922,7.331,7.697,road,routes
50039,50404,115.775,3.859,4.052,road,routes
50040,50031,69.869,2.329,2.445,road,routes
50040,50037,75.393,7.539,0.513,upstream,routes
50040,50250,103.97,0.517,0.052,coastal,routes
50040,50264,181.564,0.988,0.099,coastal,routes
50040,50269,29.93,0.998,1.048,road,routes
50040,50407,193.307,6.444,6.766,road,routes
50041,50099,114.483,2.29,0.778,fastup,routes
50041,50277,105.776,1.627,0.36,downstream,routes
50041,50459,139.874,4.662,4.896,road,routes
50042,50171,61.409,0.447,0.045,coastal,routes
50042,50172,62.184,2.073,2.176,road,routes
50042,50323,54.598,0.433,0.043,coastal,routes
50043,50122,52.586,1.753,1.84,road,routes
50043,50174,67.739,2.258,2.371,road,routes
50045,50349,35.118,1.171,1.229,road,routes
50045,50753,61.461,2.049,2.151,road,routes
50046,50074,34.21,1.14,1.197,road,routes
50046,50181,28.21,0.176,0.018,coastal,routes
50046,50243,49.553,1.652,1.734,road,routes
50046,50452,550.634,4.477,0.448,overseas,routes
50046,50658,30.969,0.198,0.02,coastal,routes
50047,50110,28.058,0.935,0.982,road,routes
50047,50324,95.146,3.172,3.33,road,routes
50048,50082,275.621,9.187,9.647,road,routes
50048,50084,231.751,7.725,8.111,road,routes
50048,50289,59.378,1.979,2.078,road,routes
50048,50470,191.687,6.39,6.709,road,routes
50049,50110,62.478,0.549,0.055,coastal,routes
50049,50205,38.091,1.27,1.333,road,routes
50049,50226,102.066,3.402,3.572,road,routes
50049,50336,245.625,1.565,0.157,coastal,routes
50049,50358,257.126,1.621,0.162,coastal,routes
50050,50162,30.972,0.278,0.028,slowcoast,routes
50050,50169,368.001,2.23,0.223,coastal,routes
50050,50557,69.101,0.379,0.038,coastal,routes
50050,50603,374.068,1.907,0.191,coastal,routes
50051,50066,83.284,0.542,0.054,coastal,routes
50051,50358,53.105,1.77,1.859,road,routes
50051,50520,32.332,0.258,0.026,coastal,routes
50052,50003,109.155,3.639,3.82,road,routes
50052,50298,96.213,3.207,3.367,road,routes
50052,50413,109.691,3.656,3.839,road,routes
50053,50062,94.639,3.155,3.312,road,routes
50053,50083,191.539,1.596,0.651,fastdown,routes
50053,50099,27.034,0.416,0.092,downstream,routes
50054,50157,55.971,1.866,1.959,road,routes
50054,50337,95.175,3.172,3.331,road,routes
50055,50348,55.19,1.84,1.932,road,routes
50055,50395,165.928,1.383,0.564,fastdown,routes
50056,50001,54.539,1.818,1.909,road,routes
50056,50314,126.177,4.206,4.416,road,routes
50056,50370,32.01,1.067,1.12,road,routes
50057,50059,185.733,6.191,6.501,road,routes
50057,50157,121.109,4.037,4.239,road,routes
50057,50242,257.891,3.968,0.877,downstream,routes
50058,50727,107.811,3.594,3.773,road,routes
50058,50744,149.43,4.981,5.23,road,routes
50059,50057,185.733,6.191,6.501,road,routes
50059,50091,47.61,1.587,1.666,road,routes
